City,Country,Lat,Lon,Max Temp,% Humidity,% Cloudiness,Wind Speed,Current Description
faya,td,18.3851,42.4509,53.71,41,24,3.42,few clouds
east london,za,-33.0153,27.9116,58.26,92,100,12.37,moderate rain
umzimvubu,za,NaN,NaN,NaN,NaN,NaN,NaN,NaN
sola,vu,-13.8833,167.55,82.04,74,5,13.2,clear sky
changping,cn,40.2186,116.2197,40.64,62,1,12.91,clear sky
shunyi,cn,40.125,116.6453,40.95,38,0,15.66,clear sky
cayenne,gf,4.9333,-52.3333,82.09,83,40,4,scattered clouds
albany,au,42.6001,-73.9662,48.54,83,0,3.09,clear sky
codrington,ag,-38.2667,141.9667,61.05,56,37,4.54,light rain
vaitupu,wf,NaN,NaN,NaN,NaN,NaN,NaN,NaN
victoria,sc,22.2855,114.1577,65.32,58,100,5.01,overcast clouds
mineiros,br,-17.5694,-52.5511,73.27,76,89,2.95,overcast clouds
caiaponia,br,-16.9567,-51.8103,74.46,74,99,1.81,overcast clouds
nusaybin,tr,37.0778,41.2178,61.18,35,85,3.31,overcast clouds
sinjar,iq,36.3209,41.8754,60.89,37,99,3.09,overcast clouds
illoqqortoormiut,gl,NaN,NaN,NaN,NaN,NaN,NaN,NaN
yanchukan,ru,NaN,NaN,NaN,NaN,NaN,NaN,NaN
coos bay,us,43.3665,-124.2179,53.58,85,75,5.75,broken clouds
atbasar,kz,51.8,68.3333,30.22,44,93,8.5,overcast clouds
makinsk,kz,52.6292,70.4169,24.62,65,95,7.92,overcast clouds
rio de janeiro,br,-22.9028,-43.2075,74.91,86,90,4.61,overcast clouds
arraial do cabo,br,-22.9661,-42.0278,71.56,88,75,2.3,broken clouds
hilo,us,19.7297,-155.09,87.28,68,20,9.22,few clouds
constitucion,mx,-35.3333,-72.4167,55.17,87,51,13.78,broken clouds
ushuaia,ar,-54.8,-68.3,46.06,71,20,11.5,few clouds
oistins,bb,13.0667,-59.5333,78.89,78,20,11.5,few clouds
mataura,pf,-46.1927,168.8643,73.33,36,82,4.5,light rain
leningradskiy,ru,69.3833,178.4167,5.52,86,76,2.59,broken clouds
thompson,ca,55.7435,-97.8558,33.96,86,40,6.91,scattered clouds
acuna,mx,NaN,NaN,NaN,NaN,NaN,NaN,NaN
aklavik,ca,68.2191,-135.0107,17.6,86,90,3.44,light snow
road town,vg,18.4167,-64.6167,82.49,83,20,2.3,few clouds
marigot,gp,18.0667,-63.0833,80.74,78,20,4.61,few clouds
kovdor,ru,67.5662,30.4758,11.91,97,32,2.42,scattered clouds
polyarnyye zori,ru,67.3661,32.4981,17.4,96,55,5.23,broken clouds
taolanaro,mg,NaN,NaN,NaN,NaN,NaN,NaN,NaN
vaini,to,-21.2,-175.2,82.56,89,75,11.5,broken clouds
hobart,au,-42.8794,147.3294,65.05,56,75,1.99,broken clouds
jamestown,sh,42.097,-79.2353,58.64,51,1,1.99,clear sky
atuona,pf,-9.8,-139.0333,78.03,77,10,15.05,light rain
saint george,bm,37.1041,-113.5841,72.19,26,1,1.01,clear sky
puerto ayora,ec,-0.7393,-90.3518,69.62,79,57,8.25,broken clouds
cape town,za,-33.9258,18.4232,59.11,78,20,2.3,few clouds
acarau,br,-2.8856,-40.12,80.2,75,17,13.13,few clouds
itarema,br,-2.9248,-39.9167,80.15,73,11,12.15,few clouds
rawson,ar,-43.3002,-65.1023,53.29,77,9,14.76,clear sky
viedma,ar,-40.8135,-62.9967,56.03,73,89,12.19,overcast clouds
port hedland,au,-20.3167,118.5667,78.85,50,10,14.97,clear sky
hobyo,so,5.3505,48.5268,78.33,63,80,8.95,broken clouds
rikitea,pf,-23.1203,-134.9692,75.76,77,100,13.96,light rain
upernavik,gl,72.7868,-56.1549,8.89,78,9,5.06,clear sky
ligayan,ph,4.6533,119.4706,82.54,76,99,4.99,heavy intensity rain
sapa,ph,5.1544,120.3241,82.4,77,100,5.12,very heavy rain
kalmunai,lk,7.4167,81.8167,74.89,95,100,11.68,overcast clouds
tiksi,ru,71.6872,128.8694,18.84,79,100,16.06,overcast clouds
madaoua,ne,14.073,5.96,82.56,18,17,1.68,few clouds
tibiri,ne,13.5627,7.0485,82.08,20,5,6.98,clear sky
new norfolk,au,-42.7826,147.0587,64.71,46,90,1.99,overcast clouds
ngukurr,au,NaN,NaN,NaN,NaN,NaN,NaN,NaN
toftir,fo,NaN,NaN,NaN,NaN,NaN,NaN,NaN
bethel,us,41.3712,-73.414,53.67,76,1,4.61,clear sky
ribeira grande,pt,38.5167,-28.7,63.97,92,100,9.86,overcast clouds
qaanaaq,gl,77.484,-69.3632,3.22,56,0,9.24,clear sky
bougouni,ml,11.417,-7.479,80.74,45,19,4.21,few clouds
kolondieba,ml,11.0882,-6.8926,82.38,45,46,1.07,scattered clouds
tuktoyaktuk,ca,69.4541,-133.0374,19.4,86,90,9.22,light snow
salalah,om,17.0151,54.0924,75.29,43,0,4.61,clear sky
hudson bay,ca,52.85,-102.3842,34.92,57,73,5.93,broken clouds
the pas,ca,53.8251,-101.2541,35.62,64,40,5.75,scattered clouds
coihaique,cl,-45.5752,-72.0662,60.75,55,0,3.44,clear sky
mys shmidta,ru,NaN,NaN,NaN,NaN,NaN,NaN,NaN
birao,cf,10.2849,22.7882,75.69,33,44,4.81,scattered clouds
raga,sd,8.4596,25.678,78.24,67,98,3.31,overcast clouds
bengkulu,id,-3.8004,102.2655,77.85,88,100,6.2,light rain
quatre cocos,mu,-20.2078,57.7625,75.31,85,52,9.35,light rain
bilma,ne,18.6853,12.9164,75.34,17,0,5.37,clear sky
najran,sa,17.4924,44.1277,59.65,26,1,1.32,clear sky
kontagora,ng,10.3999,5.4695,76.1,48,12,2.06,few clouds
bluff,nz,-46.6,168.3333,60.46,68,88,1.92,overcast clouds
marsh harbour,bs,26.5412,-77.0636,74.86,60,42,15.26,scattered clouds
punta arenas,cl,-53.15,-70.9167,50.11,57,0,4.61,clear sky
