City_ID,City,Country,Max Temp,Current Description,Lat,Lon,Hotel Name
21,arraial do cabo,br,71.56,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
41,puerto ayora,ec,69.62,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
98,ponta do sol,cv,68.63,few clouds,32.6667,-17.1,Hotel do Campo
99,luwingu,zm,67.8,overcast clouds,-10.2621,29.9271,"MR.C SIMON CHABALA (Maje, Home Place)"
100,kasama,zm,67.23,overcast clouds,-10.2129,31.1808,Kalebalika Cottages
108,sabha,ly,69.12,overcast clouds,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
112,nago,jp,69.87,overcast clouds,26.5881,127.9761,Hotel Yugaf Inn Okinawa
128,mathura,in,67.12,few clouds,27.5,77.6833,Brijwasi Lands Inn
129,sakit,in,66.22,clear sky,27.45,78.8167,Laucky house
133,flinders,au,71.06,overcast clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
134,whyalla,au,66.09,scattered clouds,-33.0333,137.5833,Foreshore Motor Inn
156,linhares,br,71.2,broken clouds,-19.3911,-40.0722,Hotel Conceição
157,kaeo,nz,69.21,few clouds,-35.1,173.7833,Bushido Lodge
163,pisco,pe,66.25,scattered clouds,-13.7,-76.2167,Hotel San Isidro Oficial
183,ponta do sol,pt,68.63,few clouds,32.6667,-17.1,Hotel do Campo
199,karratha,au,71.26,few clouds,-20.7377,116.8463,ibis Styles Karratha
214,airai,pw,70.93,overcast clouds,-8.9266,125.4092,Juvinal Martin
216,san vicente,ph,66.33,scattered clouds,-26.6167,-54.1333,Complejo Turístico Farelluk
221,itoman,jp,69.82,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
246,bandar-e lengeh,ir,69.91,clear sky,26.5579,54.8807,کافی نت پارس
249,hasaki,jp,68.29,overcast clouds,35.7333,140.8333,Hotel Sunrise Choshi
262,swan hill,au,67.96,broken clouds,-35.3378,143.5544,Lazy River Motor Inn
263,deniliquin,au,68.5,broken clouds,-35.5333,144.9667,Riviana Motel
265,jalu,ly,67.93,overcast clouds,29.0331,21.5482,صاحبة الفخامة
275,namibe,ao,68.14,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
301,ishigaki,jp,68.13,broken clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
302,hirara,jp,67.86,broken clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
308,andapa,mg,67.33,scattered clouds,-14.65,49.65,Ramanandraibe Andapa
336,macaubas,br,69.44,overcast clouds,-13.0194,-42.6986,Macaúbas Palace Hotel
346,ndola,zm,71.46,broken clouds,-12.9587,28.6366,Chabanga Lodge iSpot
347,serenje,zm,66.31,scattered clouds,-13.2325,30.2352,The Kabaso's
355,kiama,au,71.26,overcast clouds,-34.6833,150.8667,The Sebel Kiama Harbourside
360,kawambwa,zm,67.55,broken clouds,-9.7915,29.0791,Chembe Nsofu
361,mporokoso,zm,67.03,broken clouds,-9.3727,30.125,Government Guest House
394,ouadda,cf,71.42,overcast clouds,8.0777,22.4007,NaN
404,carnarvon,au,69.87,scattered clouds,-24.8667,113.6333,Hospitality Carnarvon
408,ghanzi,bw,68.18,overcast clouds,-21.5667,21.7833,Ghanzi Farmhouse
431,mbutuy,py,70.02,few clouds,-24.9667,-56.3,Residencia Aveiro
435,louis trichardt,za,71.19,few clouds,-23.0439,29.9032,139 on Munnik Guest House
437,villa carlos paz,ar,66.25,clear sky,-31.4241,-64.4978,Monte Carlo
438,cordoba,ar,69.6,clear sky,-31.4135,-64.1811,Hotel Sussex
445,kafanchan,ng,70.05,broken clouds,9.5833,8.3,Sir Joe guest Inn
446,jos,ng,66.81,overcast clouds,9.9167,8.9,Silk Suites
460,concordia,ar,71.78,clear sky,-31.393,-58.0209,Palmar Hotel Casino
468,tuatapere,nz,68.52,overcast clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
492,bukama,cd,71.2,broken clouds,-9.2,25.85,NaN
507,benghazi,ly,71.1,overcast clouds,32.1167,20.0667,Tibesti Hotel
508,tukrah,ly,69.26,overcast clouds,32.5341,20.5791,Lagrota restaurant
515,isla mujeres,mx,71.65,overcast clouds,21.2311,-86.731,Hotel La Joya Isla Mujeres
517,karoi,zw,71.06,clear sky,-16.8099,29.6925,Chikangwe Guest houses
518,bindura,zw,68.18,overcast clouds,-17.3019,31.3306,Mayfair Lodges and Restaurant
525,imbituba,br,68.83,overcast clouds,-28.24,-48.6703,Praia Hotel Imbituba
540,xuddur,so,69.64,scattered clouds,4.1213,43.8894,Banjanay Hotel
566,alta floresta,br,71.46,overcast clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
572,adrar,dz,67.5,broken clouds,20.5022,-10.0711,NaN
586,reconquista,ar,71.28,clear sky,-29.15,-59.65,Grand Hotel
596,oyama,jp,68.88,overcast clouds,36.3,139.8,Toyoko Inn Oyama-eki Higashi-guchi No.1
597,shimoda,jp,70.16,overcast clouds,34.6667,138.95,Shimoda Tokyu Hotel
600,salitral,pe,70.02,overcast clouds,-4.8572,-80.6811,Alpamayo
612,micomeseng,gq,68.9,overcast clouds,2.1462,10.6164,NaN
633,taoudenni,ml,66.42,overcast clouds,22.6783,-3.9836,NaN
635,wharton,us,70.09,clear sky,29.3116,-96.1027,"Countryside Inn Wharton, TX"
636,galveston,us,70.18,clear sky,29.3669,-94.9669,Comfort Inn & Suites Texas City
641,enid,us,66.31,clear sky,36.3956,-97.8784,Ramada by Wyndham Enid
642,winfield,us,67.55,clear sky,37.2398,-96.9956,Sonner Motor Inn
660,puerto baquerizo moreno,ec,68.68,few clouds,-0.9,-89.6,Hotel los Algarrobos
675,locri,it,71.51,overcast clouds,38.2414,16.2623,Grand Hotel President
676,lixourion,gr,66.06,overcast clouds,38.2019,20.4314,Hotel Summery
696,chiang klang,th,70.93,broken clouds,19.2938,100.8617,Sangthong Resort
710,boende,cd,70.07,light rain,-0.2167,20.8667,NaN
711,yangambi,cd,69.87,few clouds,0.8102,24.4336,NaN
769,paraiso,mx,67.06,broken clouds,9.8383,-83.8656,Hotel Rinconcito Verde
792,tolaga bay,nz,66.31,clear sky,-38.3667,178.3,Tolaga Bay Motel
793,ahipara,nz,68.9,few clouds,-35.1667,173.1667,Ahipara Holiday Park
818,matale,lk,70.34,overcast clouds,7.4721,80.6234,Anil's Inn
821,los andes,cl,70.57,clear sky,-32.8337,-70.5983,Hotel Los Andes
843,richards bay,za,68.07,overcast clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
860,vilhena,br,67.6,overcast clouds,-12.7406,-60.1458,Hotel Mirage
866,warragul,au,67.44,clear sky,-38.1667,145.9333,Comfort Inn & Suites Warragul
876,saint-joseph,re,71.96,clear sky,-21.3667,55.6167,"""Plantation Bed and Breakfast"
912,santa maria,cv,69.1,clear sky,-29.6842,-53.8069,Hotel Morotin
913,nouadhibou,mr,66.18,clear sky,20.931,-17.0347,El Medina
920,presidencia roque saenz pena,ar,70.14,clear sky,-26.7852,-60.4388,Hotel Aconcagua
943,alice springs,au,71.15,scattered clouds,-23.7,133.8833,Desert Palms Alice Springs
955,ilhabela,br,70.11,overcast clouds,-23.7781,-45.3581,Ilha Flat Hotel
966,ialibu,pg,66.83,few clouds,-6.2821,143.9935,Eastwood Guesthouse
967,duncan,us,69.69,clear sky,34.5023,-97.9578,Days Inn by Wyndham Duncan
996,niamtougou,tg,71.44,clear sky,9.7681,1.1053,Sevebat
